Id,Title,Keywords,Field_Auto,Cluster,Link
17,"TNO1, a TGN-localized SNARE-interacting protein, modulates root skewing in Arabidopsis thaliana.","['tno1 modulates root', 'destabilization microtubule destabilization', 'base hypocotyls', 'root growth keywords', 'arabidopsis thaliana', 'root skewing mechanism', 'display enhanced', 'identifying genes', 'growth medium']",Plant Science in Space (Arabidopsis),8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/
18,The Drosophila SUN protein Spag4 cooperates with the coiled-coil protein Yuri Gagarin to maintain association of the basal body and spermatid nucleus.,"['role spag4 centriolar', 'maintaining proximity centrosomes', 'coiled coil proteins', 'associated antigen spag4', 'keywords kash protein', 'spermatogenesis', 'centrioles basal bodies', 'yuri gagarin yuri', 'klarsicht msp', 'does']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2915878/
19,Toll mediated infection response is altered by gravity and spaceflight in Drosophila,"['spaceflight immune function', 'drosophila immunity flies', 'heat shock stress', 'infection produced normal', 'used drosophila', 'mediated fungal infections', 'challenges health', 'design effective', 'conditions addition microorganisms']",Animal Physiology & Spaceflight Stress,3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3901686/
20,Multi-omics analysis of multiple missions to space reveal a theme of lipid dysregulation in mouse liver,[],Unclassified,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6985101/
21,GeneLab database analyses suggest long-term impact of space radiation on the cardiovascular system by the activation of FYN through reactive oxygen species.,"['compared human endothelial', 'pathways microarray data', 'power omics', 'designing appropriate experiments', 'keywords space radiation', 'cardiovascular knowledge contribute', 'astronauts', 'upregulate fyn turn', 'ros reactive oxygen']",Microbiome & Life in Space,6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6387434/
22,FAIRness and usability for open-access omics data systems.,"['fairness scores 12', 'metrics range overall', 'omics data sharing', 'biological research community', 'seen huge rise', 'particular frequently supported', 'data accessibility', 'performed', '12 14']",Microbiome & Life in Space,6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6371294/
23,NASA GeneLab platform utilized for biological response to space radiation in animal models,"['based spaceflight radiation', 'omics experiments animal', 'changes mitochondrial function', 'generate novel hypotheses', 'mitochondrial', 'human health', 'risk factors', 'detailed information']",Microbiome & Life in Space,6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7072278/
24,Circulating miRNA spaceflight signature reveals targets for countermeasure development,[],Unclassified,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8441986/
25,Machine learning algorithm to characterize antimicrobial resistance associated with the International Space Station surface microbiome,"['environmental microbiomes', 'download video file', 'concealed', 'strains', '10 1186 s40168', 'kalamiella piersonii', 'supplementary material', '01332 keywords', 'analyzed data using', 'objective']",Bone & Marrow Loss in Mice,5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9400218/
26,Extraterrestrial Gynecology: Could Spaceflight Increase the Risk of Developing Cancer in Female Astronauts? An Updated Review,"['carcinogenic risk', 'established cancer hallmarks', 'health astronauts', 'environment human life', 'highlighting studies needed', 'present review focus', 'keywords space exploration']",Microbiome & Life in Space,6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9267413/
27,Muscle atrophy phenotype gene expression during spaceflight is linked to a metabolic crosstalk in both the liver and the muscle in mice.,[],Unclassified,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9576569/
28,Chromosomal positioning and epigenetic architecture influence DNA methylation patterns triggered by galactic cosmic radiation,"['epigenetic transcriptomic response', 'sci rep 6709', 'radiation summary', 'building previous work', 'gcr jaxa astronauts', 'human health', 'remain poorly', 'et al', '10 1038 s41598', '56 fe 28']",Animal Physiology & Spaceflight Stress,3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10789781/
29,"A comprehensive SARS-CoV-2 and COVID-19 review, Part 2: Host extracellular to systemic effects of SARS-CoV-2 infection","['understanding viral pathogenesis', 'worldwide betacoronavirus', 'tissue organ adaptations', 'animal clinical studies', 'current knowledge virological', 'future research', 'observations covid', 'evolve global health', 'diseases subject terms', 'patients']",Bone & Marrow Loss in Mice,5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10772081/
30,Aging and putative frailty biomarkers are altered by spaceflight,"['various epigenomic changes', 'biological aging comprehensively', 'sarcopenia spaceflight context', 'monitoring astronaut health', 'findings suggest', 'poses inherent risks', 'utility frailty index', 'bridge knowledge gap', 'missions objective assess', 'objective']",Bone & Marrow Loss in Mice,5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166946/
31,Space radiation damage rescued by inhibition of key spaceflight associated miRNAs,"['performed rna sequencing', 'reduction inflammation dna', 'antagomirs altered humans', 'develop countermeasure treatments', 'microrna signature associated', 'findings indicate', 'utilized astronauts spaceflight', 'double strand breaks', 'let 7a 5p', 'microvessel cell cultures']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166944/
32,Ethical considerations for the age of non-governmental space exploration,"['space travelers raising', 'terms ethics medical', 'research especially context', 'human subject research', 'practice concerns', 'relatively underexplored', 'private space', 'operations subject', 'non governmental commercial', 'ethical legal']",Microbiome & Life in Space,6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166968/
33,Innate immune responses of Drosophila melanogaster are altered by spaceflight.,"['immune disorders spaceflight', 'flown bacteria characterization', 'simulated microgravity conditions', 'drosophila melanogaster', 'did persist bacterial', 'bacterial cultures', 'serratia marcescens', 'pathogens infect', 'characterized subject terms']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7000411/
34,Prolonged Exposure to Microgravity Reduces Cardiac Contractility and Initiates Remodeling in Drosophila,[],Unclassified,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7787258/
35,Regulation of plant gravity sensing and signaling by the actin cytoskeleton.,"['actin affects cell', 'understand root growth', 'auxin analogs affect', 'signal transduction', 'function proteins', 'hormonal pathways review', 'root growth keywords', 'discuss feedback loop']",Plant Science in Space (Arabidopsis),8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8716943/
36,HLB1 Is a Tetratricopeptide Repeat Domain-Containing Protein That Operates at the Intersection of the Exocytic and Endocytic Pathways at the TGN/EE in Arabidopsis,"['latrunculin b1 hlb1', 'double mutant showed', 'exocytic endocytic pathways', 'coimmunoprecipitation', 'form complex actin', 'ribosylation factor', 'protein unknown function', 'uncharacterized plants identified', 'plant development', 'tgn ee']",Plant Science in Space (Arabidopsis),8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4826010/
37,ERULUS is a plasma membrane-localized receptor-like kinase that specifies root hair growth by maintaining tip-focused cytoplasmic calcium oscillations.,[],Unclassified,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6048781/
38,Brassinosteroids inhibit autotropic root straightening by modifying filamentous-actin organization and dynamics.,"['actin dynamics hypocotyls', 'inhibitor latrunculin', 'truncatula roots modest', 'seedlings treated ebl', 'called gravitropism', 'dynamics keywords autotropism', 'live cell imaging', 'zea mays', 'displayed similar enhanced']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7010715/
39,Cell type-specific imaging of calcium signaling in Arabidopsis thaliana seedling roots using GCaMP3.,"['plant organs roots', 'calcium response ca', 'set arabidopsis thaliana', 'various cell types', 'ubq10 drive expression', 'keywords gcamp3', 'lines expressing', 'adenosine tri phosphate', 'mosaic virus', 'studies addressed question']",Plant Science in Space (Arabidopsis),8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7503278/
40,Spatial and temporal localization of SPIRRIG and WAVE/SCAR reveal roles for these proteins in actin-mediated root hair development.,"['hair development arabidopsis', 'regulates tip growth', 'brk1 scar1234 brk1', 'actin integrity', 'endomembrane systems essential', 'domain containing protein', 'work uncovers role', 'little known', 'spi beige', 'data']",Plant Science in Space (Arabidopsis),8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8364238/
41,Microgravity Stress: Bone and Connective Tissue,"['microgravity induced changes', 'spaceflight keywords spaceflight', 'establishing molecular level', 'behavior bone thymus', 'gene expression', 'bone density', 'terms transcriptomics immunology', 'recovered partially recovered']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11579474/
42,S. aureus MscL is a pentamer in vivo but of variable stoichiometries in vitro: implications for detergent-solubilized membrane proteins,"['different oligomeric states', 'solubilized triton', 'ray crystallography demonstrate', 'studies suggest like', 'state samscl determine', 'coli mscl ecomscl', 'mechanosensitive', 'crystallographic']",Unclassified,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2998437/
43,Manipulating the permeation of charged compounds through the MscL nanovalve.,"['encourage actuation nanopore', 'bacterial mechanosensor serves', 'releasing cytoplasmic solutes', 'electrophysiological approaches demonstrate', 'controllable nanoswitches', 'drug release device', 'keywords osmoregulation', 'compounds mscl', 'important implications']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3005423/
44,The oligomeric state of the truncated mechanosensitive channel of large conductance shows no variance in vivo.,"['modifying oligomeric state', 'crystal structure pentamers', 'samscl protein solubilized', 'solubilization', 'keywords mechanosensitive channel', 'protein plays critical', 'terminal region', 'stoichiometry species difference', 'aureus mscl actually', 'studies agree length']",Plant Science in Space (Arabidopsis),8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3190158/
45,Three routes to modulate the pore size of the MscL channel/nanovalve,"['characterized mechanosensors', 'crystallography reveals homo', 'form fold cytoplasmic', 'sensors microelectronic array', 'various functions including', 'biosensor drug release', 'keywords osmoregulation', 'nanotech', 'routes engineering mscl']",Animal Physiology & Spaceflight Stress,3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3289768/
46,The dynamics of protein-protein interactions between domains of MscL at the cytoplasmic-lipid interface,"['transduce mechanical forces', 'protein interactions osmoregulation', 'structure predicted', 'homopentamer subunit consisting', 'keywords mechanosensitive channel', 'determine regions interact', 'physiological role mscl', 'amphipathic']",Plant Science in Space (Arabidopsis),8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3508904/
47,The MscS and MscL families of mechanosensitive channels act as microbial emergency release valves,"['families bacterial mechanosensitive', 'decrease external osmolarity', 'potentially life threatening', 'valves allow cytoplasmic', 'potential physiological roles', 'single celled organisms', 'changes occur rapid', 'function proteins discovery', 'mscs mscl', 'review relevant data']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3430326/
48,Chimeras reveal a single lipid-interface residue that controls MscL channel kinetics as well as mechanosensitivity,[],Unclassified,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3593973/
49,Evidence for extensive horizontal gene transfer from the draft genome of a tardigrade,[],Unclassified,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5018776/
50,Reply to Bemm et al. and Arakawa: Identifying foreign genes in independent Hypsibius dujardini genome assemblies,[],Unclassified,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4896697/
51,Tardigrades Use Intrinsically Disordered Proteins to Survive Desiccation.,"['prevent desiccated liposomes', 'enhance desiccation tolerance', 'stress adaptation', 'recombinantly expressed sahs', 'proteins belonging', 'application molecular dynamics', 'biological structures recombinantly', 'coli rhizobium tropici']",Plant Science in Space (Arabidopsis),8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11127935/
52,Desiccation of Hypsibius exemplaris,[],Unclassified,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11831363/
53,The biology of tardigrade disordered proteins in extreme stress tolerance.,"['proteins desiccation tolerance', 'expression cahs1 cahs3', 'subcellular localization', 'hyperosmotic conditions findings', 'keywords anhydrobiosis tardigrades', 'organisms survive extreme', 'findings deepen understanding', 'live imaging disordered', 'acid sequences', 'ramazzottius varieornatus']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11930778/
54,Production of reactive oxygen species and involvement of bioprotectants during anhydrobiosis in the tardigrade Paramacrobiotus spatialis,"['recovery animals desiccation', 'aquaporins 10 rehydration', 'gene desiccation tolerance', 'anhydrobiosis represents direct', 'oxidative stress', 'terms evolution zoology', 'functions using rna', 'life animals evolved', 'paramacrobiotus', 'synthesizing bioprotectants']",Animal Physiology & Spaceflight Stress,3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8816950/
55,Partial weight suspension: A novel murine model for investigating adaptation to reduced musculoskeletal loading.,"['001 bone formation', 'partial weightbearing spaceflight', 'musculoskeletal response reduced', 'gastrocnemius wet mass', 'altogether data provide', 'related clinical conditions', 'female balb cbyj', 'housed controls variables', 'environments keywords']",Microbiome & Life in Space,6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3774184/
56,"Partial reductions in mechanical loading yield proportional changes in bone density, bone architecture, and muscle mass","['hindlimb bone mineral', 'gait kinematics measured', 'relationship functional adaptation', 'maintaining quadrupedal locomotion', '70 normal weight', 'unloading load', 'keywords mechanical loading', 'pws identified pws', 'data confirm', '40 70']",Bone & Marrow Loss in Mice,5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4118556/
57,Spaceflight and hind limb unloading induce similar changes in electrical impedance characteristics of mouse gastrocnemius muscle,"['assessment muscle disuse', 'bone mineral density', 'microgravity keywords', 'mice underwent', 'second experiment 14', '65 011', 'data support', 'objective', 'performed']",Animal Physiology & Spaceflight Stress,3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4653813/
58,Spaceflight Activates Lipotoxic Pathways in Mouse Liver,"['disruption lipid metabolism', 'different strains mice', 'performed space shuttle', 'oro staining showed', 'c57bl jackson balb', '42 days vs', 'animals', 'investigated subject terms', '21 37 42', 'analyzed']",Animal Physiology & Spaceflight Stress,3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6915713/
59,Treatment with a soluble bone morphogenetic protein type 1A receptor (BMPR1A) fusion protein increases bone mass and bone formation in mice subjected to hindlimb unloading.,"['mbmpr1a mfc treatment', 'induced bone loss', '12 weeks old', 'c57bl 6j mice', 'bone mineral research', 'hlu veh hlu', 'findings suggest', 'wiley periodicals behalf', 'setting', 'research keywords']",Bone & Marrow Loss in Mice,5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6124165/
60,RNAseq and RNA molecular barcoding reveal differential gene expression in cortical bone following hindlimb unloading in female mice,"['performed transcriptomic profiling', 'induced bone loss', 'wnt signaling metabolism', 'hindlimb unloading hlu', 'rna marrow flushed', 'previously unidentified mechanosensitive', 'prevent disuse induced', 'novel targets prevent', 'old female c57bl', 'reported genes associated']",Bone & Marrow Loss in Mice,5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8509868/
61,Proteomic and phosphoproteomic characterization of cardiovascular tissues after long term exposure to simulated space radiation,"['cardiovascular disease phosphoproteomics', 'samples fold change', 'modulating inflammatory responses', 'findings suggest', 'doses ionizing radiation', 'previously described mice', 'bacterial pathogens', 'chronic health', 'methods']",Animal Physiology & Spaceflight Stress,3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11063234/
62,Adaptive Changes in the Vestibular System of Land Snail to a 30-Day Spaceflight and Readaptation on Return to Earth,"['geotactic behavior postflight', 'expressions statocyst transcriptome', 'responses mechanoreceptors', 'sensing statocyst neuroplasticity', 'dark conditioned control', 'differential gene expressions', 'keywords mollusks', 'adapt', 'lucorum']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5672023/
63,"Morphology of the Utricular Otolith Organ in the Toadfish, Opsanus tau","['visualize sensory epithelium', 'hair bundles prominent', 'striolar regions zonal', 'anatomical description', 'transmission electron micrographs', 'synapse afferents keywords', 'ab_2336827 vector lab', 'adobe photoshop rrid', 'limited number 13', 'rrid scr_001775']",Bone & Marrow Loss in Mice,5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5899691/
64,"Influence of Magnitude and Duration of Altered Gravity and Readaptation to 1g on the Structure and Function of the Utricle in Toadfish, Opsanus tau.","['physiology utricular afferents', 'remained constant animal', 'inter animal variability', '16 32 days', 'control indistinguishable control', 'animal evolution', 'transmission electron microscopy', 'opsanus tau']",C. Elegans & Muscle Studies,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6204554/
65,Organization of the ER-Golgi interface for membrane traffic control.,"['trafficking endoplasmic reticulum', 'copii assembly', 'high resolution imaging', 'imaging studies indicate', 'understanding interfaces regulated', 'different systems particularly', 'structure comparison', 'interface better', 'provide key insights']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4064004/
66,IRE1: ER stress sensor and cell fate executor.,"['unfolded protein response', 'function mammalian ire1', 'endoplasmic reticulum', 'divergent ire1 characteristics', 'signaling model discusses', 'micrornas convergent divergent', 'exciting future directions', 'quality control', 'research keywords']",Plant Science in Space (Arabidopsis),8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3818365/
67,Inter-regulation of the unfolded protein response and auxin signaling.,[],Unclassified,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3981873/
68,Endoplasmic reticulum-shape and function in stress translation,[],Unclassified,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4150462/
69,Galactose-depleted xycoglucan is dysfunctional and leads to dwarfism in Arabidopsis,"['xyloglucan xylosyltransferases xxts', 'xyloglucan dysfunction xyloglucan', 'xyloglucan structure modified', 'overexpress xyloglucan chain', 'mutants produce detectable', 'plant cells plants', 'xlt2 gene', 'leaves short petioles', 'arabidopsis arabidopsis thaliana']",Plant Science in Space (Arabidopsis),8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4378170/
70,"Unfolded protein response in plants: one master, many questions.","['stress sensors', 'understanding plant', 'endoplasmic reticulum er', 'downstream organelle nucleus', 'conserved unique features', 'yeast metazoans', 'open questions answers']",Plant Science in Space (Arabidopsis),8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4618186/
71,Vesicles versus Tubes: Is Endoplasmic Reticulum-Golgi Transport in Plants Fundamentally Different from Other Eukaryotes?,"['highly vacuolated plant', 'cells golgi apparatus', 'yeast saccharomyces cerevisiae', 'federica brandizzi provides', 'plant cell biologists', 'reach consensus', 'exciting new developments', 'animal cells', 'article akihiko nakano']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4453782/
72,Pectin methylesterification impacts the relationship between photosynthesis and plant growth.,"['pectin methyltransferases increased', 'unit leaf area', 'plasticity plant growth', 'modulate cell wall', 'specialized organs leaves', 'expressing cgr2 cgr2ox', 'plant dry weight', 'underlying genetic mechanisms', 'generating dynamic carbon', 'analyzed']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4902601/
73,Reduced Chloroplast Coverage genes from Arabidopsis thaliana help to establish the size of the chloroplast compartment,"['function conclude rec1', 'regulate energy metabolism', 'mitochondria chloroplasts', 'plastid nucleus signaling', 'genes unknown function', 'mutants arabidopsis thaliana', 'chloroplasts knocking', 'friendly homologs friendly', 'data']",Plant Science in Space (Arabidopsis),8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4776492/
74,Maintaining the factory: The roles of the unfolded protein response in cellular homeostasis in plants.,[],Unclassified,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5415411/
75,NADPH oxidase activity is required for ER stress survival in plants.,"['defense proteotoxic stress', 'endoplasmic reticulum', 'essential organelle support', 'keywords unfolded protein', 'negatively impacting cell', 'yeast cells', 'rbohd rbohf', 'management eukaryotes keywords']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6289879/
76,Relevance of the Unfolded Protein Response to Spaceflight-Induced Transcriptional Reprogramming in Arabidopsis,"['stress related genes', 'response arabidopsis microgravity', 'scale comparative transcriptome', 'understanding plants', 'plant arabidopsis thaliana', 'mission international space', 'thaliana performed', 'networks key words', 'sustainable ecosystems human']",Plant Science in Space (Arabidopsis),8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7987364/
77,Reanalysis of the Mars500 experiment reveals common gut microbiome alterations in astronauts induced by long-duration confinement,"['keywords microbiome mars', 'microbiome mars space', 'tab keywords microbiome', 'health 16s rrna', 'space science astronaut', 'new tab keywords', 'astronaut health', 'health 16s', '16s rrna gene', 'keywords']",Microbiome & Life in Space,6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8099722/
78,"High atomic weight, high-energy radiation (HZE) induces transcriptional responses shared with conventional stresses in addition to a core ""DSB"" response specific to clastogenic treatments",[],Unclassified,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5116466/
79,Genomic stability in response to high versus low linear energy transfer radiation in Arabidopsis thaliana,"['gamma induced mutagenesis', 'series arabidopsis thaliana', 'breaks genomic instability', 'understand genetic requirements', 'mutagens plants animals', 'weight high energy', 'played slightly important', 'rbe hze', '1gev fe']",Plant Science in Space (Arabidopsis),8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4033213/
80,Acceleration profiles and processing methods for parabolic flight.,"['parabolic flights provide', 'allows unsupervised classification', 'quantifying gravito inertial', 'facilitating research validation', 'methods widely available', 'gia levels', 'commercial use', 'freely available', 'data availability']",Microbiome & Life in Space,6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6081456/
81,Cytoskeleton structure and total methylation of mouse cardiac and lung tissue during space flight.,"['level cytosine demethylase', 'evaluate protein mrna', 'dna methylases', 'tissue mice euthanized', 'multiple cytoskeletal', 'associated genes', 'spacex mission september', 'september 2014 usa', 'purpose work']",Cell Biology & Microgravity Effects,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5955502/
